account_number,meter_id,billing_period_start,billing_period_end,reading_date,kwh_consumed,unit,tariff_type,provider,facility
ACC-2201,MTR-A001,2024-01-01,2024-01-31,2024-02-05,12450,kWh,Commercial,Tata Power,Mumbai HQ
ACC-2201,MTR-A002,2024-01-01,2024-01-31,2024-02-05,8700,kWh,Commercial,Tata Power,Mumbai HQ
ACC-2202,MTR-B001,2024-01-01,2024-01-31,2024-02-03,6200,kWh,Industrial,BSES Rajdhani,Delhi Plant
ACC-2201,MTR-A001,2024-02-01,2024-02-28,2024-03-04,11800,kWh,Commercial,Tata Power,Mumbai HQ
ACC-2202,MTR-B001,2024-02-01,2024-02-28,2024-03-06,-350,kWh,Industrial,BSES Rajdhani,Delhi Plant
ACC-2203,,2024-02-01,2024-02-28,2024-03-05,4500,kWh,Commercial,Adani Electricity,Pune Office
ACC-2201,MTR-A002,2024-02-01,2024-02-28,2024-03-04,0,kWh,Commercial,Tata Power,Mumbai HQ
ACC-2204,MTR-D001,2024-01-01,2024-01-31,2024-02-08,145000,kWh,Industrial,MSEDCL,Nashik Factory
ACC-2201,MTR-A001,2024-03-01,2024-03-31,ungueltig,13200,MWh,Commercial,Tata Power,Mumbai HQ
ACC-2205,MTR-E001,2024-03-01,2024-03-31,2024-04-05,7800,kWh,Commercial,BESCOM,Bangalore Tech Park
